2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:52 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:52 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:52 | Controller | Rebalance:39 | Rebalance successful
2022/05/19 09:17:02 | Controller | Rebalance:40 | Rebalancing
2022/05/19 09:17:02 | Controller.DstoreCon | Rebalance:40 | Sending message: LIST
2022/05/19 09:17:02 | Controller.DstoreCon | Rebalance:40 | Sending message: LIST
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:17:02 | Controller.DstoreCon | Rebalance:40 | Sending message: LIST
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:17:02 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:17:02 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:17:02 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:17:02 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:17:02 | Controller | Rebalance:40 | Rebalance successful
2022/05/19 09:17:03 | Dstore.ControllerConnection | Dstore1235:14 | Closing socket
2022/05/19 09:17:03 | Dstore.ControllerConnection | Dstore1234:14 | Closing socket
2022/05/19 09:17:03 | Dstore.ControllerConnection | Dstore1236:14 | Closing socket
2022/05/19 09:17:03 | Dstore | Dstore1235:14 | Closing clients
2022/05/19 09:17:03 | Dstore | Dstore1234:14 | Closing clients
2022/05/19 09:17:03 | Dstore | Dstore1236:14 | Closing clients
2022/05/19 09:17:03 | Dstore | ClientAcceptor:15 | Server socket closed
2022/05/19 09:17:03 | Dstore | ClientAcceptor:15 | Server socket closed
2022/05/19 09:17:03 | Dstore | ClientAcceptor:15 | Server socket closed
